Mis puntos fuertes;Identificar y poner en valor mis cualidades, talentos y logros más importantes.;true;STRENGTHS
Mis valores;Precisar qué es importante para mí y qué guía mis decisiones en el día a día.;true;VALUES
Mis deseos;Clarificar lo que quiero explorar, aprender o vivir a corto y medio plazo.;true;ASPIRATIONS
Mis motivaciones profesionales;Comprender qué me impulsa a implicarme en mi trabajo y en mi carrera.;false;MOTIVATION
Mis áreas de mejora;Detectar los puntos en los que quiero progresar o ganar confianza.;false;IMPROVEMENT
Mis intereses;Enumerar los temas, actividades o ámbitos que me atraen o me apasionan de forma natural.;false;INTERESTS
Mis inspiraciones;Identificar las personas, proyectos o experiencias que me inspiran y alimentan mis ideas.;false;INSPIRATIONS
Mis obligaciones;Tener en cuenta mis restricciones personales, materiales o familiares a la hora de elegir.;false;OBLIGATIONS
Testimonios sobre mí;Reunir opiniones y testimonios de otras personas sobre mis competencias y cualidades.;false;TESTIMONIALS
