Mes points forts;Identifier et valoriser mes qualités, talents et réussites marquantes.;true;STRENGTHS
Mes valeurs;Préciser ce qui est important pour moi et ce qui guide mes décisions au quotidien.;true;VALUES
Mes envies;Clarifier ce que j’ai envie d’explorer, d’apprendre ou de vivre à court et moyen terme.;true;ASPIRATIONS
Mes motivations professionnelles;Comprendre ce qui me donne envie de m’investir dans mon travail et ma carrière.;false;MOTIVATION
Mes axes d'amélioration;Repérer les points sur lesquels je souhaite progresser ou gagner en confiance.;false;IMPROVEMENT
Mes centres d'intérêts;Lister les sujets, activités ou domaines qui me passionnent.;false;INTERESTS
Mes inspirations;Identifier les personnes, projets ou expériences qui m’inspirent.;false;INSPIRATIONS
Mes obligations;Prendre en compte mes contraintes personnelles, matérielles ou familiales.;false;OBLIGATIONS
Mes témoignages;Rassembler les retours d’expérience d’autres personnes sur mes qualités.;false;TESTIMONIALS
